iter	Logloss
307	0.3244017968
308	0.3240644895
309	0.3239762233
310	0.3236895048
311	0.3235548753
312	0.3234140836
313	0.323130857
314	0.3230740474
315	0.3230181474
316	0.3229150625
317	0.322531392
318	0.3222276541
319	0.3219567812
320	0.3216036576
321	0.3215523646
322	0.3214989002
323	0.3212641789
324	0.3209983826
325	0.3209046584
326	0.3204718663
327	0.3204243
328	0.3201322115
329	0.3197878324
330	0.3196440477
331	0.3194944528
332	0.3190832872
333	0.3189181988
334	0.3188014104
335	0.3184917157
336	0.3181635343
337	0.3179572472
338	0.3176094935
339	0.3172501784
340	0.3169157762
341	0.3163213877
342	0.3161539518
343	0.3160799173
344	0.3158689646
345	0.3154885219
346	0.3150280292
347	0.3149233598
348	0.3145221417
349	0.3141320155
350	0.313925523
351	0.3135495406
352	0.3132927528
353	0.3129659213
354	0.3126518836
355	0.3126210139
356	0.312590555
357	0.3122977917
358	0.3121217581
359	0.3119271205
360	0.3117009676
361	0.3116074195
362	0.3115794255
363	0.3114768982
364	0.3113988143
365	0.3112074045
366	0.3110604506
367	0.3109384097
368	0.3106439737
369	0.3104924422
370	0.3102720407
371	0.309882032
372	0.3096435253
373	0.3095833998
374	0.3092817453
375	0.3090748714
376	0.308698038
377	0.3085594177
378	0.3083996699
379	0.3081679124
380	0.307987712
381	0.3078931955
382	0.3076922197
383	0.3075688582
384	0.3073726947
385	0.3072448437
386	0.3071198684
387	0.3070600069
388	0.3067643386
389	0.3063528501
390	0.3060834738
391	0.3058635712
392	0.305468662
393	0.3053150177
394	0.3048684927
395	0.3045692737
396	0.3043357849
397	0.3041423798
398	0.3038916955
399	0.303646968
400	0.303486604
401	0.3032444881
402	0.3030795758
403	0.3028173006
404	0.3025856018
405	0.3023312789
406	0.3020297124
407	0.3017037025
408	0.301515902
409	0.3012833228
410	0.3011568803
411	0.3008360643
412	0.300514544
413	0.3002903865
414	0.3002776806
415	0.3000244728
416	0.2996202616
417	0.2994124779
418	0.2990628169
419	0.2988697932
420	0.2988367521
421	0.2987500704
422	0.2985761789
423	0.2982577104
424	0.2981830597
425	0.2981098468
426	0.2978585757
427	0.2978480999
428	0.2975838294
429	0.2973439143
430	0.2970704886
431	0.2968371465
432	0.2967740572
433	0.2963135646
434	0.2962041121
435	0.2959933941
436	0.2959108206
437	0.2956375709
438	0.2953484168
439	0.2951488788
440	0.2949192634
441	0.2948368659
442	0.2948108967
443	0.2946815491
444	0.2945800194
445	0.2943791023
446	0.2942160973
447	0.293973864
448	0.293808629
449	0.293515895
450	0.293425516
451	0.2932168814
452	0.2930582487
453	0.292885883
454	0.2928497608
455	0.2926113129
456	0.2923765329
457	0.2923113603
458	0.2921806042
459	0.291952632
460	0.2918614901
461	0.2915852767
462	0.2914791987
463	0.2912567726
464	0.2910396282
465	0.2908204592
466	0.2907222161
467	0.290401224
468	0.2900716928
469	0.2898262904
470	0.2895182389
471	0.2893065232
472	0.2892664396
473	0.2890867967
474	0.288959151
475	0.288765159
476	0.2884484511
477	0.2883431068
478	0.2881873498
479	0.287933643
480	0.2877001836
481	0.2875536405
482	0.2873460036
483	0.2871644827
484	0.2870623955
485	0.2869102771
486	0.2867711874
487	0.2865379333
488	0.286325396
489	0.2860912616
490	0.2859242366
491	0.2857803345
492	0.2853658823
493	0.2850529597
494	0.2848498711
495	0.2847091675
496	0.2845964872
497	0.2842978257
498	0.2842357635
499	0.2839908893
500	0.2837423471
501	0.2836709243
502	0.2834498479
503	0.2832125737
504	0.2831149175
505	0.2830393278
506	0.2828312214
507	0.2825273074
508	0.2822556716
509	0.2820562803
510	0.2817803016
511	0.2816094032
512	0.2815144172
513	0.2813782325
514	0.2812254099
515	0.2811339745
516	0.2810086764
517	0.2809902485
518	0.2809032734
519	0.2808467278
520	0.280548037
521	0.2802927457
522	0.2801883698
523	0.2800335224
524	0.2799082243
525	0.2797139094
526	0.2794960022
527	0.2792884533
528	0.2790350694
529	0.278920159
530	0.2786996401
531	0.2786244319
532	0.27850914
533	0.2782805223
534	0.2781197475
535	0.2780366751
536	0.2777799166
537	0.2776203449
538	0.2775102469
539	0.277318573
540	0.2772037213
541	0.2772023128
542	0.2770116953
543	0.2767963409
544	0.2765778762
545	0.2764502892
546	0.2762700008
547	0.276087981
548	0.2758968353
549	0.2756979722
550	0.27557241
551	0.2754102854
552	0.2753342262
553	0.2750780546
554	0.2749501742
555	0.2748353518
556	0.2747320909
557	0.2746113117
558	0.2742711581
559	0.2740622007
560	0.2738282424
561	0.2737422063
562	0.2736307878
563	0.2734574245
564	0.2732385782
565	0.2731367845
566	0.2730926514
567	0.2728581355
568	0.272787769
569	0.2726926657
570	0.2725048652
571	0.2722902445
572	0.2720560221
573	0.2718308082
574	0.2716786605
575	0.2715662443
576	0.2715404217
577	0.2714050293
578	0.2713373037
579	0.271214089
580	0.2709898142
581	0.2707090231
582	0.2704218351
583	0.2703208923
584	0.2702597985
585	0.2700822683
586	0.2699622521
587	0.2697994232
588	0.2696197216
589	0.2694314223
590	0.2692090255
591	0.2690313486
592	0.2689161447
593	0.268648353
594	0.2684834994
595	0.2683940301
596	0.2682857513
597	0.2680729793
598	0.2679269937
599	0.2677540119
600	0.2674869537
601	0.2674864255
602	0.2672110924
603	0.2670264024
604	0.2669867295
605	0.2667516855
606	0.2665581923
607	0.2663602389
608	0.2662607046
609	0.2660116636
610	0.2659211672
611	0.2657120925
612	0.2655951573
613	0.2654195345
614	0.2650717222
615	0.2649118864
616	0.2648541377
617	0.2648434859
618	0.2646222041
619	0.2645881946
620	0.2643554981
621	0.2642052871
622	0.2639950385
623	0.2638245803
624	0.2635763902
625	0.2634419368
626	0.2633493277
627	0.2632298103
628	0.2631602948
629	0.2629643954
630	0.2629226391
631	0.2627879803
632	0.2626707224
633	0.2624972417
634	0.2624562777
635	0.2623055091
636	0.2620289436
637	0.2618681688
638	0.2616788424
639	0.2616734138
640	0.2615302746
641	0.2613783029
642	0.2612393306
643	0.2610560491
644	0.2609540206
645	0.2608355009
646	0.2607119634
647	0.2605856675
648	0.2604633625
649	0.2602674924
650	0.2601076566
651	0.2598864629
652	0.2597363399
653	0.2595485981
654	0.2595261207
655	0.2593562493
656	0.2592055688
657	0.2590184725
658	0.2589429122
659	0.2588106009
660	0.2587095994
661	0.258406243
662	0.2582898067
663	0.2581373948
664	0.2580128596
665	0.2577766418
666	0.2577393458
667	0.2575177413
668	0.2572977506
669	0.2571701343
670	0.2568419236
671	0.2565198752
672	0.2563353905
673	0.2561893463
674	0.2561890235
675	0.2560901348
676	0.2557617187
677	0.2557105725
678	0.2554697477
679	0.2552736136
680	0.2550933544
681	0.2548418779
682	0.2546562195
683	0.2545682467
684	0.254486172
685	0.2542424715
686	0.2541591938
687	0.2540625352
688	0.2538646991
689	0.2537715618
690	0.25350914
691	0.2533494803
692	0.2531308394
693	0.2529892555
694	0.2526731638
695	0.2526372176
696	0.2524535546
697	0.2521844717
698	0.2520320012
699	0.2518707275
700	0.2516737131
701	0.251597067
702	0.251447032
703	0.2512551234
704	0.2510463128
705	0.2510459313
706	0.2508765001
707	0.250744805
708	0.2506070064
709	0.2504136892
710	0.2502604851
711	0.2501412318
712	0.2498763745
713	0.2497683892
714	0.2496903053
715	0.2494704026
716	0.2494477492
717	0.2490200923
718	0.2489895747
719	0.2488942366
720	0.2488250732
721	0.2487100161
722	0.2484867683
723	0.2482554509
724	0.248101073
725	0.2478988647
726	0.2477668762
727	0.247622622
728	0.2474749638
729	0.2473523067
730	0.2470582815
731	0.2469665527
732	0.2468606215
733	0.2467190082
734	0.2465126624
735	0.2462545542
736	0.2461185455
737	0.2460980635
738	0.2459813778
739	0.2458002824
740	0.2456720059
741	0.2454460144
742	0.2453096977
743	0.2451816999
744	0.2450833394
745	0.244761467
746	0.2444968884
747	0.2444066121
748	0.2442867279
749	0.2439751112
750	0.2438685784
751	0.243796598
752	0.2436806019
753	0.2435036146
754	0.2432998511
755	0.2432003168
756	0.2430940481
757	0.2430307682
758	0.2428628481
759	0.2427061521
760	0.242613543
761	0.2424795444
762	0.2422034924
763	0.2421041929
764	0.2419453694
765	0.241835198
766	0.2416930272
767	0.2415370794
768	0.2414721856
769	0.2412950662
770	0.241146205
771	0.2410579241
772	0.2409816449
773	0.2408363636
774	0.2406793301
775	0.2405940863
776	0.2404348814
777	0.2403625195
778	0.2401991037
779	0.2400322547
780	0.2398310881
781	0.2397070371
782	0.2396200033
783	0.2395955599
784	0.2394928859
785	0.2393709036
786	0.2391496218
787	0.2389924269
788	0.2388947267
789	0.2386862241
790	0.2385517267
791	0.2383116062
792	0.2380760633
793	0.2379192059
794	0.2376757402
795	0.2374910941
796	0.2372962658
797	0.23723347
798	0.236981612
799	0.2368918199
800	0.236725323
801	0.2365791321
802	0.236417609
803	0.2363449097
804	0.2361712969
805	0.2360408783
806	0.2358569805
807	0.2357581212
808	0.2356610518
809	0.2355053388
810	0.2353261801
811	0.2351777003
812	0.2351195996
813	0.2350958164
814	0.2349533374
815	0.2349388123
816	0.2348290957
817	0.2346310542
818	0.2344901598
819	0.2343606802
820	0.2343601667
821	0.234157709
822	0.2339972569
823	0.2337928332
824	0.2336141733
825	0.2334920443
826	0.2333020284
827	0.2331325531
828	0.2330513881
829	0.2328883685
830	0.2327308361
831	0.2326089125
832	0.232421831
833	0.2323434096
834	0.2321603188
835	0.2320325705
836	0.231771205
837	0.2316889543
838	0.2316620166
839	0.231425256
840	0.2312545043
841	0.2310924237
842	0.2308675032
843	0.2307504507
844	0.2306872294
845	0.2305622394
846	0.2303798089
847	0.2301383239
848	0.2298932296
849	0.2297980088
850	0.2297386023
851	0.2295563771
852	0.2294209994
853	0.2292472986
854	0.2291349264
855	0.2289509847
856	0.2288220185
857	0.2286718809
858	0.2285688694
859	0.2284052482
860	0.2282851439
861	0.2282728048
862	0.2280384651
863	0.2278619473
864	0.227699808
865	0.2276794287
866	0.2275901354
867	0.2275515923
868	0.2272835658
869	0.2271927613
870	0.2270799343
871	0.2268826265
872	0.226686595
873	0.2265863565
874	0.226575602
875	0.2265339485
876	0.2264016518
877	0.2261865322
878	0.226088832
879	0.2258966446
880	0.2256519611
881	0.2254400547
882	0.2252802335
883	0.2251243004
884	0.2250489748
885	0.224858284
886	0.2247767082
887	0.2247555659
888	0.2245456549
889	0.224377368
890	0.2242264968
891	0.2241037222
892	0.2239372547
893	0.2237801185
894	0.2236555833
895	0.2235318111
896	0.2233908727
897	0.2233181587
898	0.2232455914
899	0.2231216431
900	0.2229584914
901	0.2229299399
902	0.2227347154
903	0.2225936743
904	0.2225877615
905	0.2225148274
906	0.222420487
907	0.2222549879
908	0.2221433199
909	0.2219955738
910	0.2219006172
911	0.2217171596
912	0.2215468627
913	0.2214337129
914	0.2214047359
915	0.2213355138
916	0.2213262411
917	0.2212190481
918	0.2211427689
919	0.2210730039
920	0.2209348385
921	0.2208749624
922	0.220723607
923	0.2205494367
924	0.2204296112
925	0.2203284044
926	0.2202453026
927	0.2200865525
928	0.2199649224
929	0.2198805736
930	0.2197803937
931	0.2197001237
932	0.2196307256
933	0.2194728558
934	0.2192600984
935	0.2190620422
936	0.2188666417
937	0.2188101548
938	0.2187120291
939	0.2185184772
940	0.2183866648
941	0.2182775057
942	0.2180596425
943	0.2179741786
944	0.21770222
945	0.2175952911
946	0.2174981924
947	0.2174023261
948	0.2171955549
949	0.2170845325
950	0.2169709719
951	0.216811767
952	0.2166911932
953	0.2166231889
954	0.2164784652
955	0.2164064848
956	0.2162721781
957	0.216174111
958	0.2160898209
959	0.2159414438
960	0.215810541
961	0.2157175944
962	0.2156367669
963	0.2153854957
964	0.2152910086
965	0.2151966975
966	0.2149973062
967	0.2149012639
968	0.2146970309
969	0.2146389594
970	0.2145176667
971	0.2143137858
972	0.2142135767
973	0.2140948076
974	0.213983301
975	0.2138930981
976	0.2137151865
977	0.2136122483
978	0.2135384193
979	0.2134935819
980	0.2134481723
981	0.2133579548
982	0.2133171668
983	0.2132517448
984	0.2131492615
985	0.2130169355
986	0.212791839
987	0.212757228
988	0.2126240217
989	0.2125180758
990	0.2124754099
991	0.2123183471
992	0.2122151595
993	0.2121543151
994	0.2120032384
995	0.2119272525
996	0.2119217799
997	0.2117506908
998	0.2115781344
999	0.2115298931
